Baseline MAPE (const=1.0): Train=48.29%, Val=46.17%
[INFO] New best model saved with val_loss: 1877.2432
Epoch 33/500 => Train Loss: 98.1355, Val Loss: 2027.3729, Best Loss: 1877.2432, SMAPE (T/V): 97.44/35.83, MAPE_safe (T/V): 79.34/46.17, Time: 4.58s
Epoch 34/500 => Train Loss: 98.1817, Val Loss: 2027.5325, Best Loss: 1877.2432, SMAPE (T/V): 97.46/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.57s
Epoch 35/500 => Train Loss: 98.1176, Val Loss: 2027.5418, Best Loss: 1877.2432, SMAPE (T/V): 97.45/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.57s
Epoch 36/500 => Train Loss: 98.0912, Val Loss: 2027.6170, Best Loss: 1877.2432, SMAPE (T/V): 97.45/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.57s
Epoch 37/500 => Train Loss: 98.1115, Val Loss: 2027.4868, Best Loss: 1877.2432, SMAPE (T/V): 97.45/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.58s
Epoch 38/500 => Train Loss: 98.1984, Val Loss: 2027.6988, Best Loss: 1877.2432, SMAPE (T/V): 97.50/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.59s
Epoch 39/500 => Train Loss: 98.2520, Val Loss: 2027.5666, Best Loss: 1877.2432, SMAPE (T/V): 97.47/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.58s
Epoch 40/500 => Train Loss: 98.2677, Val Loss: 2027.4796, Best Loss: 1877.2432, SMAPE (T/V): 97.45/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 5.29s
Epoch 41/500 => Train Loss: 98.1337, Val Loss: 2027.6036, Best Loss: 1877.2432, SMAPE (T/V): 97.47/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.58s
Epoch 42/500 => Train Loss: 98.0781, Val Loss: 2027.6471, Best Loss: 1877.2432, SMAPE (T/V): 97.44/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.58s
Epoch 43/500 => Train Loss: 98.1652, Val Loss: 2027.3402, Best Loss: 1877.2432, SMAPE (T/V): 97.47/35.83, MAPE_safe (T/V): 79.34/46.17, Time: 4.59s
Epoch 44/500 => Train Loss: 98.1840, Val Loss: 2027.5900, Best Loss: 1877.2432, SMAPE (T/V): 97.50/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.59s
Epoch 45/500 => Train Loss: 98.0704, Val Loss: 2027.4946, Best Loss: 1877.2432, SMAPE (T/V): 97.44/35.83, MAPE_safe (T/V): 79.34/46.18, Time: 4.60s
