Baseline MAPE (const=1.0): Train=48.29%, Val=46.17%
[INFO] New best model saved with val_loss: 31383.8555
Epoch 1/500 => Train Loss: 294.0670, Val Loss: 31383.8555, Best Loss: 31383.8555, SMAPE (T/V): 55.52/85.85, MAPE_safe (T/V): 209.22/9914.23, Time: 5.95s
[INFO] New best model saved with val_loss: 16237.1113
Epoch 2/500 => Train Loss: 292.3061, Val Loss: 16237.1113, Best Loss: 16237.1113, SMAPE (T/V): 53.71/86.65, MAPE_safe (T/V): 206.09/7047.54, Time: 4.64s
Epoch 3/500 => Train Loss: 291.5685, Val Loss: 73134.4778, Best Loss: 16237.1113, SMAPE (T/V): 53.68/83.93, MAPE_safe (T/V): 203.03/14293.48, Time: 4.61s
Epoch 4/500 => Train Loss: 290.9999, Val Loss: 127077.2523, Best Loss: 16237.1113, SMAPE (T/V): 53.06/86.35, MAPE_safe (T/V): 202.91/17435.47, Time: 4.60s
Epoch 5/500 => Train Loss: 290.4902, Val Loss: 199629.6851, Best Loss: 16237.1113, SMAPE (T/V): 52.80/79.23, MAPE_safe (T/V): 204.45/7743.21, Time: 4.61s
Epoch 6/500 => Train Loss: 289.7680, Val Loss: 102944.0588, Best Loss: 16237.1113, SMAPE (T/V): 52.47/83.05, MAPE_safe (T/V): 202.71/16126.99, Time: 4.62s
Epoch 7/500 => Train Loss: 289.4707, Val Loss: 21100.3328, Best Loss: 16237.1113, SMAPE (T/V): 52.26/82.51, MAPE_safe (T/V): 202.50/7603.70, Time: 4.63s
Epoch 8/500 => Train Loss: 289.0276, Val Loss: 9830109558200.7246, Best Loss: 16237.1113, SMAPE (T/V): 51.81/78.65, MAPE_safe (T/V): 200.96/17802096.36, Time: 4.63s
Epoch 9/500 => Train Loss: 288.6033, Val Loss: 54399.9470, Best Loss: 16237.1113, SMAPE (T/V): 52.07/84.19, MAPE_safe (T/V): 204.72/11544.32, Time: 4.64s
Epoch 10/500 => Train Loss: 288.7073, Val Loss: 40516876468983832576.0000, Best Loss: 16237.1113, SMAPE (T/V): 51.62/82.65, MAPE_safe (T/V): 198.90/35600522120.07, Time: 4.63s
[INFO] New best model saved with val_loss: 1445.9138
Epoch 11/500 => Train Loss: 289.3165, Val Loss: 1445.9138, Best Loss: 1445.9138, SMAPE (T/V): 51.38/74.94, MAPE_safe (T/V): 202.77/2101.97, Time: 5.79s
Epoch 12/500 => Train Loss: 288.5184, Val Loss: 714928223451170560.0000, Best Loss: 1445.9138, SMAPE (T/V): 51.75/84.22, MAPE_safe (T/V): 203.74/4704613680.17, Time: 4.60s
Epoch 13/500 => Train Loss: 287.7604, Val Loss: 10164.3764, Best Loss: 1445.9138, SMAPE (T/V): 51.15/78.46, MAPE_safe (T/V): 201.25/4281.73, Time: 4.58s
Epoch 14/500 => Train Loss: 285.5189, Val Loss: 119688992564.4376, Best Loss: 1445.9138, SMAPE (T/V): 50.86/84.26, MAPE_safe (T/V): 199.95/1942962.20, Time: 4.59s
Epoch 15/500 => Train Loss: 288.0265, Val Loss: 23252313.0080, Best Loss: 1445.9138, SMAPE (T/V): 50.95/82.10, MAPE_safe (T/V): 200.70/31203.95, Time: 4.62s
Epoch 16/500 => Train Loss: 289.3341, Val Loss: 1194046940662384837001216.0000, Best Loss: 1445.9138, SMAPE (T/V): 51.55/79.68, MAPE_safe (T/V): 205.96/6079967396568.52, Time: 4.58s
Epoch 17/500 => Train Loss: 285.9798, Val Loss: inf, Best Loss: 1445.9138, SMAPE (T/V): 50.97/75.42, MAPE_safe (T/V): 200.50/904946747527891328.00, Time: 4.60s
Epoch 18/500 => Train Loss: 288.9682, Val Loss: 2486192859699755.0000, Best Loss: 1445.9138, SMAPE (T/V): 51.23/85.71, MAPE_safe (T/V): 203.05/277480132.22, Time: 4.60s
Epoch 19/500 => Train Loss: 286.0334, Val Loss: 890905976658.9136, Best Loss: 1445.9138, SMAPE (T/V): 51.09/85.03, MAPE_safe (T/V): 202.53/5268493.97, Time: 4.60s
Epoch 20/500 => Train Loss: 285.9494, Val Loss: 36582265056.1191, Best Loss: 1445.9138, SMAPE (T/V): 51.03/83.81, MAPE_safe (T/V): 204.48/1087471.70, Time: 4.60s
Epoch 21/500 => Train Loss: 284.1824, Val Loss: 16007.2166, Best Loss: 1445.9138, SMAPE (T/V): 50.65/81.67, MAPE_safe (T/V): 200.23/6609.35, Time: 5.65s
Epoch 22/500 => Train Loss: 286.6392, Val Loss: 77627893880577230702116864.0000, Best Loss: 1445.9138, SMAPE (T/V): 51.11/77.02, MAPE_safe (T/V): 206.65/49024168093968.60, Time: 4.59s
Epoch 23/500 => Train Loss: 285.7419, Val Loss: 158697.3915, Best Loss: 1445.9138, SMAPE (T/V): 50.95/85.25, MAPE_safe (T/V): 200.36/20430.62, Time: 4.60s
Epoch 24/500 => Train Loss: 287.4617, Val Loss: 9777.0847, Best Loss: 1445.9138, SMAPE (T/V): 50.81/79.44, MAPE_safe (T/V): 203.58/5146.66, Time: 4.64s
Epoch 25/500 => Train Loss: 283.5001, Val Loss: 12403221821006696.0000, Best Loss: 1445.9138, SMAPE (T/V): 50.38/84.87, MAPE_safe (T/V): 200.59/619686104.77, Time: 4.60s
